Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u X5R 25V / CL21A106KAYNNNE","C_0805_2012Metric",94.500000,-101.500000,0.000000,bottom
"C2","22u X5R 16V / CL21A226MOYNNNE","C_0805_2012Metric",85.500000,-108.000000,0.000000,bottom
"C3","100n X7R","C_0603_1608Metric",93.000000,-103.900000,0.000000,bottom
"C4","22u X5R 16V / CL21A226MOYNNNE","C_0805_2012Metric",93.000000,-97.000000,180.000000,bottom
"C5","100n X7R","C_0603_1608Metric",94.000000,-93.000000,180.000000,bottom
"C6","1u X7R","C_0603_1608Metric",101.000000,-98.000000,180.000000,bottom
"C7","100n X7R","C_0603_1608Metric",116.000000,-104.000000,180.000000,bottom
"C21","100n X7R","C_0603_1608Metric",92.000000,-122.300000,180.000000,bottom
"C22","100n X7R","C_0603_1608Metric",104.000000,-122.300000,180.000000,bottom
"C23","100n X7R","C_0603_1608Metric",116.000000,-122.300000,180.000000,bottom
"C24","100n X7R","C_0603_1608Metric",92.000000,-133.300000,180.000000,bottom
"C25","100n X7R","C_0603_1608Metric",104.000000,-133.300000,180.000000,bottom
"C26","100n X7R","C_0603_1608Metric",116.000000,-133.300000,180.000000,bottom
"C27","100n X7R","C_0603_1608Metric",92.000000,-144.300000,180.000000,bottom
"C28","100n X7R","C_0603_1608Metric",104.000000,-144.300000,180.000000,bottom
"C29","100n X7R","C_0603_1608Metric",116.000000,-144.300000,180.000000,bottom
"J2","CAN IN / GND-L-H","JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical",100.000000,-109.000000,180.000000,bottom
"J3","CAN OUT / GND-L-H","JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical",112.000000,-109.000000,180.000000,bottom
"J11","P1 sensor / CS GPIO2","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",88.000000,-118.000000,180.000000,bottom
"J12","P2 sensor / CS GPIO4","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",100.000000,-118.000000,180.000000,bottom
"J13","P3 sensor / CS GPIO5","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",112.000000,-118.000000,180.000000,bottom
"J14","P4 sensor / CS GPIO6","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",88.000000,-129.000000,180.000000,bottom
"J15","P5 sensor / CS GPIO7","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",100.000000,-129.000000,180.000000,bottom
"J16","P6 sensor / CS GPIO8","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",112.000000,-129.000000,180.000000,bottom
"J17","P7 sensor / CS GPIO9","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",88.000000,-140.000000,180.000000,bottom
"J18","P8 sensor / CS GPIO10","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",100.000000,-140.000000,180.000000,bottom
"J19","P9 sensor / CS GPIO14","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",112.000000,-140.000000,180.000000,bottom
"L1","LSXND4040TKL2R2MDG / 2.2uH","L_Taiyo-Yuden_NR-40xx",85.500000,-103.500000,180.000000,bottom
"R1","10k","R_0603_1608Metric",94.000000,-99.600000,180.000000,bottom
