axis_id,reference_index,known_joint_deg,raw_capture_file,observed_raw_count,status,fixture_requirement
waist.yaw,1,-35.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
waist.yaw,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
waist.yaw,3,35.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
waist.pitch,1,-20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
waist.pitch,2,10.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
waist.pitch,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
waist.roll,1,-25.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
waist.roll,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
waist.roll,3,25.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
chest.yaw,1,-35.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
chest.yaw,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
chest.yaw,3,35.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
chest.pitch,1,-20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
chest.pitch,2,5.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
chest.pitch,3,30.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
chest.roll,1,-20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
chest.roll,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
chest.roll,3,20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
head.yaw,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
head.yaw,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
head.yaw,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
head.pitch,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
head.pitch,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
head.pitch,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
head.roll,1,-35.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
head.roll,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
head.roll,3,35.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_l.protract,1,-20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_l.protract,2,5.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_l.protract,3,30.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_l.elevate,1,-15.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_l.elevate,2,7.5,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_l.elevate,3,30.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_l.flex,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_l.flex,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_l.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_l.abduct,1,-30.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_l.abduct,2,5.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_l.abduct,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_l.twist,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_l.twist,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_l.twist,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
elbow_l.flex,1,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
elbow_l.flex,2,20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
elbow_l.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
forearm_l.twist,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
forearm_l.twist,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
forearm_l.twist,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_l.flex,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_l.flex,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_l.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_l.deviate,1,-25.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_l.deviate,2,5.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_l.deviate,3,35.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
