id,kind,from_connector,to_connector,cut_length_each_mm,wires,wire,housing_both_ends,contact
S03,sensor,N1.J11,waist.yaw.J1,290,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S04,sensor,N1.J12,waist.pitch.J1,430,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S05,sensor,N1.J13,waist.roll.J1,440,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S06,sensor,N2.J11,chest.yaw.J1,370,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S07,sensor,N2.J12,chest.pitch.J1,370,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S08,sensor,N2.J13,chest.roll.J1,350,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S09,sensor,N2.J14,head.yaw.J1,300,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S10,sensor,N2.J15,head.pitch.J1,440,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S11,sensor,N2.J16,head.roll.J1,440,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S12,sensor,N3.J11,clavicle_l.protract.J1,260,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S13,sensor,N3.J12,clavicle_l.elevate.J1,430,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S14,sensor,N3.J13,upperarm_l.flex.J1,370,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S15,sensor,N3.J14,upperarm_l.abduct.J1,460,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S16,sensor,N3.J15,upperarm_l.twist.J1,430,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S17,sensor,N3.J16,elbow_l.flex.J1,560,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S18,sensor,N3.J17,forearm_l.twist.J1,620,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S19,sensor,N3.J18,hand_l.flex.J1,740,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S20,sensor,N3.J19,hand_l.deviate.J1,850,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S28,sensor,N4.J11,clavicle_r.protract.J1,250,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S29,sensor,N4.J12,clavicle_r.elevate.J1,430,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
S30,sensor,N4.J13,upperarm_r.flex.J1,370,6,Alpha 2841/7 AWG30 7/38 PTFE OD0.61,SHR-06V-S,SSH-003T-P0.2-H
